Reference	ID	Tags	Quote	Occurrence	Question	Response
1:1	r3ao			0	By what title does the author John introduce himself in this letter?	John introduces himself as the elder.
1:1	yuwd			0	What relationship does John have with Gaius, the one receiving this letter?	John loves Gaius in truth.
1:2	i06l			0	For what does John pray concerning Gaius?	John prays that Gaius would prosper in everything and be in health, as his soul prospers.
1:4	n2vf			0	What is John’s greatest joy?	John’s greatest joy is to hear that his children are walking in the truth.
1:5	h1gl			0	For whom did Gaius work?	Gaius worked for the brothers even though they were strangers.
1:6	bfoi			0	How should Gaius send the brothers on?	He should sent them on worthily of God.
1:7	uxbr			0	Why did the brothers need help from the believers to send them out on their journey?	They needed help because they were not accepting anything from the Gentiles.
1:8	y0oj			0	Why does John say believers should welcome such people?	John says believers should welcome them to become fellow-workers with the truth.
1:9	uz5o			0	What does Diotrephes love?	Diotrephes loves to be first among the people of his church.
1:9	r54s			0	What is Diotrephes’ attitude toward John?	Diotrephes does not receive John.
1:10	osvj			0	What will John do when he comes to Gaius and the congregation?	When John comes, he will call attention to the works that Diotrephes is doing.
1:10	hnrs			0	What does Diotrephes do with the brothers who are sent out?	Diotrephes does not receive these brothers.
1:10	mzkb			0	What does Diotrephes do with those who are willing to receive these brothers?	Diotrephes stops them from receiving the brothers and puts them out of the church.
1:11	b95i			0	What does John tell Gaius to imitate?	John tells Gaius to imitate what is good.
1:14	skpj			0	What does John expect to do in the future?	John expects to come and speak with Gaius in person.
